총 100건 (재고금액 > 0, 재고금액 높은 순 TOP 100)
2024-01-01 이후 발주 있음: 54건 / 없음: 46건

순위 | 품목코드 | 품목명 | SPEC | 재고수량 | 평균단가(원) | 재고금액(원) | 단위 | 위치 | 발주여부 | 최근발주일 | 발주건수 | 프로젝트
83|AD-4212C-300|SCALE|firmware : ver139 |4|1.4e+06|5.6e+06|EA|C-B1-6|있음|2024-08-29|14|PPW 프레스 #2
84|110XI4300DPI+REWIND|Label Printer|110XI4 300dpi+Rewind Zebra|2|2.8e+06|5.6e+06|EA|C-H2-1|없음||0|
85|UR20-16DO-N|16 Digital NPN Output||86|65095|5.59817e+06|EA|C-A3-3|없음||0|
86|ABR090-010-S2-P1|Reducer|MSMF082L1S2|5|1.10717e+06|5.53586e+06|EA|*|없음||0|
87|PHRC070-R-500-20-H-S|Robot|Clean Cartesian Robot Ball Screw Type|7|780000|5.46e+06|EA|C-E2-5|없음||0|
88|50-01-05-0|3Jaw Pin Holder Ø1.0|Grip : Ø6.1, Ungrip : Ø2.2|108|48614|5.25031e+06|EA|C-B1-1|있음|2025-07-23|4|탕가로이PVD 그리퍼 홀더 구매 건
89|MC-16NL-3|인터페이스단자대||303|16839|5.10222e+06|EA|C-A4-2|없음||0|
90|XK2-35/4*9|전원분배블럭||341|14760|5.03316e+06|EA|C-B4-1|없음||0|
91|MSMD022S1T|Panasonic A5 ServoMotor||26|191267|4.97294e+06|EA|C-D2-5|없음||0|
92|MSME102S1G|Panasonic A5 ServoMotor||15|326315|4.89472e+06|EA|C-D2-5|없음||0|
93|EZSPD-60H30CR30P|Geared Motor&Drive|60각 30W 1:30|19|254346|4.83257e+06|EA|*|없음||0|
94|POD-5024-2-PEI-NDUD|LightController|2CH Ctrl|5|950000|4.75e+06|EA|C-A5-4|없음||0|
95|LCHZ6-8|Bush||431|10801.5|4.65543e+06|EA|*|있음|2025-12-31|10|MMC 검사기 F2 #1
96|EZI-EC-42XL-A|EZI-SERVOII-EC-42XL-A|Drive & Motor Set|11|422772|4.65049e+06|EA|*|있음|2026-03-31|31|YG1 포장기 #4 (#22-5)
97|SKS-CB012|초소형 슬립링||10|460000|4.6e+06|EA|*|있음|2026-03-31|6|한국야금 CVD #4
98|10-23-01-0|Robot Rib 1||46|99367|4.57088e+06|EA|C-E2-2|있음|2026-01-24|2|천진 허리 프레스 #1 (Dor, EP15X)
99|OD2-N120W60A2|Laser Sensor||7|650000|4.55e+06|EA|*|있음|2026-03-24|1|2026 공용자재 구매
100|NUVO-8003-I5-V2|Nuvo-8003|i5-9500/ 16G/ mSATA256GB/ Win10loT|3|1.50782e+06|4.52346e+06|EA|C-B4-4|없음||0|
