item_cd | item_nm | spec | item_lvl1 | item_lvl2 | item_lvl3 | use_yn | maker
50-02-10-0 | 2-Jaw Gripper | 1.5mm~5.5mm 용 |  |  |  | Y | 
50-02-11-0 | 2 Jaw Gripper | 폭 4.0mm~0mm |  |  |  | Y | 정밀가공
50-02-11-1 | 2 Jaw Gripper |  |  |  |  | Y | 
50-02-12-0 | 2 Jaw Gripper | 폭 4.0mm~0mm / 두께 1.5mm |  |  |  | Y | 정밀가공
50-02-12-1 | 2 Jaw Gripper |  |  |  |  | Y | 
50-02-13-0 | 2Jaw Pin 14.5mm 0.0-4.0 | W7.0mm, L14.5mm, range 0.0-4.0 |  |  |  | Y | 정밀가공
50-02-14-0 | Jig |  |  |  |  | Y | 
50-02-15-0 | 2-Jaw Gripper | Projection Type(4.4-8.4) |  |  |  | Y | 정밀가공
50-02-16-0 | 2-Jaw Gripper | Projection Type(1.0-5.0)-1 |  |  |  | Y | 정밀가공
50-02-16-1 | 2  Jaw gripper | Projection Type(1.0-5.0)-1 |  |  |  | Y | 
50-02-17-0 | 2-Jaw Gripper | Projection Type(1.0-5.0)-2 |  |  |  | Y | 정밀가공
50-02-17-1 | 2  Jaw gripper | Projection Type(1.0-5.0)-2 |  |  |  | Y | 
50-02-18-0 | 2-Jaw Gripper | Projection Type(2.6-6.6)-1 |  |  |  | Y | 정밀가공
50-02-18-1 | 2  Jaw gripper | Projection Type(2.6-6.6)-1 |  |  |  | Y | 
50-02-18-2 | 2 jaw gripper |  |  |  |  | Y | 
50-02-18-3 | 2 Jaw Gripper | X19 |  |  |  | Y | 정밀가공
50-02-18-4 | 2 jaw gripper |  |  |  |  | Y | 
50-02-18-5 | 2 jaw gripper (X19) |  |  |  |  | Y | 
50-02-18-6 | 2Jaw Gripper | X19 |  |  |  | Y | 
50-02-19-0 | 2-Jaw Gripper | Projection Type(2.6-6.6)-2 |  |  |  | Y | 정밀가공
50-02-19-1 | 2  Jaw grpper | Projection Type(2.6-6.6)-2 |  |  |  | Y | 
50-02-19-2 | 2 Jaw Gripper | X19 |  |  |  | Y | 정밀가공
50-02-20-0 | 2 jaw gripper |  |  |  |  | Y | 
50-02-20-1 | 2 Jaw Gripper | V11 |  |  |  | Y | 정밀가공
50-02-21-0 | 2 Jaw Gripper | V16 |  |  |  | Y | 정밀가공
50-02-21-1 | 2Jaw Pin Ø3.0 18.5mm 3.0-7.0 | Ø3.0, L18.5mm, range 3.0-7.0 |  |  |  | Y | 정밀가공
50-02-21-2 | 2 Jaw Gripper | V16 |  |  |  | Y | 정밀가공
50-02-21-3 | 2 Jaw Gripper | V16 |  |  |  | Y | 정밀가공

... 외 64건 (총 164건)
