
==================================================
  WTA Agent Dashboard
  http://localhost:5555
  시작: 2026-04-09 13:43:14
  등록 에이전트: 17개
==================================================

  P2P 상태 모니터 시작 (5초 주기)
  세션 JSONL 동기화 시작 (30초 주기)
  스케줄러 시작: 12개 활성 작업
[2026-04-09 15:20:40] 클라이언트 연결: vAcnhic8P9yJCE45AADN
[2026-04-09 15:25:28] 클라이언트 연결: g5xu1oIgOGK8SUAeAADP
[2026-04-09 15:25:33] 클라이언트 연결: 1EkrwWUvYcYteno5AADR
[2026-04-09 15:25:38] 클라이언트 연결: cSHyZtErDEoQgk82AADT
[2026-04-09 15:25:38] 클라이언트 연결: Cv1_pQgheHuGgHAqAADV
[2026-04-09 15:30:26] 클라이언트 연결: fphVi-tLzeBVr0ckAADX
[2026-04-09 15:30:31] 클라이언트 연결: 5oALNC5Wp1jJDPAaAADZ
[2026-04-09 15:30:36] 클라이언트 연결: LqEmzImSPHfMBVkKAADb
[2026-04-09 15:30:36] 클라이언트 연결: x6IQCKR27mfziGMnAADd
[2026-04-09 15:31:13] 클라이언트 연결: 53PpgQBT-vBm3238AADf
[2026-04-09 15:32:44] 클라이언트 연결: hUqolH62J4lvC--kAADh
[2026-04-09 15:33:45] 클라이언트 연결: snfpIlkU1_fs9UTyAADj
[2026-04-09 15:35:33] 클라이언트 연결: YyJLE458VCSHcaOlAADl
[2026-04-09 15:35:34] 클라이언트 연결: 5CtE-g0a6u0mHGRFAADn
[2026-04-09 15:35:36] 클라이언트 연결: XJPGvza6MPRiFD_VAADp
[2026-04-09 15:35:46] 클라이언트 연결: 9UfRRFYo9FtfyymnAADr
[2026-04-09 15:40:32] 클라이언트 연결: h5flohg2sBj77UYfAADt
[2026-04-09 15:40:43] 클라이언트 연결: wGhWmz7S5AjwEKa2AADv
[2026-04-09 15:45:30] 클라이언트 연결: oc9aykrYWUfENhnxAADx
[2026-04-09 15:45:41] 클라이언트 연결: qVhyotrvKYqVVrX2AADz
[2026-04-09 15:50:33] 클라이언트 연결: m6WSD1wpQYG8ZaM_AAD1
[2026-04-09 15:50:39] 클라이언트 연결: 8ceJN_EN15dP4ZBGAAD3
[2026-04-09 15:55:30] 클라이언트 연결: boBic5OCrgNADxe4AAD5
[2026-04-09 15:55:36] 클라이언트 연결: 0m8pGf8fEV16ZecwAAD7
[2026-04-09 16:00:28] 클라이언트 연결: rfvdqSob3xAObRgCAAD9
[2026-04-09 16:00:34] 클라이언트 연결: ho5wMW4Jgzjq0R97AAD_
[2026-04-09 16:05:27] 클라이언트 연결: qHlJndNAamJKQ3cGAAEB
