idx,status,category,old_filename,new_filename,mfr,model,doctype,lang,size,pages,md5
68,ocr,2_sensor,RF03-08020A Clamp sensor R.pdf,Unknown_RF03-08020A_Manual_EN.pdf,Unknown,RF03-08020A,Manual,EN,717901,1,693c1f0c96b897c55d89e88d7e04072d
69,ocr,2_sensor,RF03-08021A Clamp sensor L.pdf,Unknown_RF03-08021A_Manual_EN.pdf,Unknown,RF03-08021A,Manual,EN,711016,1,6e66a975107d81e9e4f9b46ba57fb964
70,ok,2_sensor,Product_information_Ultrasonic_Sensors_UM30_UM18_UM12_UC30_UC12_UC4_en_IM0052464.PDF,Unknown_Product_Manual_EN.PDF,Unknown,Product,Manual,EN,5828242,56,19001ec25563cd4b9c91b6a756d37e95
71,ocr,2_sensor,RF03-08023A Cover sensor L.pdf,Unknown_RF03-08023A_Manual_EN.pdf,Unknown,RF03-08023A,Manual,EN,701090,1,18b0443e032c9442465321ca2e8ceb88
72,ocr,2_sensor,RF03-08022A Cover sensor R.pdf,Unknown_RF03-08022A_Manual_EN.pdf,Unknown,RF03-08022A,Manual,EN,687046,1,393ae185f2f5f9cabca9cd86168d3eca
73,ocr,2_sensor,RF02-16537A SENSOR CABLE-1.pdf,Unknown_RF02-16537A_Manual_EN.pdf,Unknown,RF02-16537A,Manual,EN,126574,1,aa861e25ef526b9a814ed3c430a70191
74,ocr,2_sensor,RF03-01498A SENSOR & IO CONNECTION CABLE.pdf,Unknown_RF03-01498A_Manual_EN.pdf,Unknown,RF03-01498A,Manual,EN,105172,1,cb54d2124e084729aaca65c91d708300
75,ok,2_sensor,Operating_instructions_CM18_DC_CM30_DC_CQ35_DC_CM30_AC_CM18_PTFE_de_en_fr_da_nl_it_zh_pt_es_IM0003955.pdf,Keyence_Operating_MaintenanceManual_JA.pdf,Keyence,Operating,MaintenanceManual,JA,486763,2,7a96db4deb28a70a56e0ca68f6449228
76,ocr,2_sensor,NLS-FM305X-2X_User_Guide.pdf,Unknown_NLS-FM305X-2X_Manual_EN.pdf,Unknown,NLS-FM305X-2X,Manual,EN,3059072,0,f26c266595703403c0335b1dd1e5742c
77,ocr,2_sensor,PCIe-PoE354at-series-User-Manual.pdf,Unknown_PCIe-PoE354at-series_Manual_EN.pdf,Unknown,PCIe-PoE354at-series,Manual,EN,2150624,0,1ca897099012db09b1f6aa9d87c335a9
78,ok,2_sensor,STC-SB_SC_PoE_Series_Spec_JP_12S021_Rev1.06_9.pdf,Unknown_STC-SB_EthernetInterface_JA.pdf,Unknown,STC-SB,EthernetInterface,JA,754413,31,1eb6d394e2d81e5792f2ad1c3524efd1
79,ocr,2_sensor,Mako_TechMan_en.pdf,Unknown_Mako_Manual_EN.pdf,Unknown,Mako,Manual,EN,4184992,0,9bd965239eb96ca86fee363b455e7b8f
80,ok,2_sensor,STC-SB_SC500POE_Manual_JP_12S134-00_Rev1.01-1_0.pdf,Unknown_STC-SB_EthernetInterface_JA_v2.pdf,Unknown,STC-SB,EthernetInterface,JA,983569,52,62bc969a097ae4b1917b36dbb6c2e494
81,ocr,2_sensor,sf4d_quick_k.pdf,Unknown_sf4d_Manual_EN.pdf,Unknown,sf4d,Manual,EN,959200,0,129b03444f4c597effb2f44e6662de12
82,ok,2_sensor,quickstart_SENSICK_OD_Value_de_en_IM0031353.pdf,ABB_quickstart_QuickStart_EN.pdf,ABB,quickstart,QuickStart,EN,1023536,2,41b65ea98a787e59e4094fa3e13a18ef
83,ok,2_sensor,ss-7510-ko.pdf,Videojet_ss-7510-ko_Manual_KO.pdf,Videojet,ss-7510-ko,Manual,KO,408196,2,1ec872c7392d3e2eae4bee2f77466b4e
84,ok,2_sensor,ss-7230-7330-ko.pdf,Videojet_ss-7230-7330-ko_EthernetInterface_KO.pdf,Videojet,ss-7230-7330-ko,EthernetInterface,KO,489201,2,7286cb9f09c39baed032f25334330511
