old_filename,new_filename,manufacturer,model,doctype,language,category_valid,notes
Unknown_HL-G1_Manual_KO.pdf,Keyence_HL-G1_CommManual_KO_v2.pdf,Keyence,HL-G1,CommManual,KO,true,mfr inferred from model prefix
Unknown_HR10A-7P_InstallGuide_EN.pdf,Unknown_HR10A-7P_InstallGuide_EN.pdf,,HR10A-7P,InstallGuide,EN,false,manufacturer unidentified
Unknown_LK-G_Manual_KO.pdf,Keyence_LK-G_Manual_KO.pdf,Keyence,LK-G,Manual,KO,true,mfr inferred from model prefix
Unknown_LK-G_UserManual_KO.pdf,Keyence_LK-G_Manual_KO_v2.pdf,Keyence,LK-G,Manual,KO,true,mfr inferred from model prefix
Unknown_LR-T_Manual_KO.pdf,Keyence_LR-T_SetupGuide_KO.pdf,Keyence,LR-T,SetupGuide,KO,true,mfr inferred from model prefix
Unknown_LR-X250_Manual_KO.pdf,Keyence_LR-X250_UserManual_KO.pdf,Keyence,LR-X250,UserManual,KO,true,mfr inferred from model prefix
Unknown_LR-X250_Manual_KO_2.pdf,Keyence_LR-X250_UserManual_KO_v2.pdf,Keyence,LR-X250,UserManual,KO,true,mfr inferred from model prefix
Unknown_LR-X250_UserManual_KO.pdf,Keyence_LR-X250_UserManual_KO_v3.pdf,Keyence,LR-X250,UserManual,KO,true,mfr inferred from model prefix
Unknown_LR-X250_UserManual_KO_2.pdf,Keyence_LR-X250_UserManual_KO_v4.pdf,Keyence,LR-X250,UserManual,KO,true,mfr inferred from model prefix
Unknown_LR-X_MaintenanceManual_KO.pdf,Keyence_LR-X_SetupGuide_KO.pdf,Keyence,LR-X,SetupGuide,KO,true,mfr inferred from model prefix
Unknown_LR-X_Manual_KO.pdf,Keyence_LR-X_SetupGuide_KO_v2.pdf,Keyence,LR-X,SetupGuide,KO,true,mfr inferred from model prefix
Unknown_LR-ZB250AN_Manual_KO.pdf,Keyence_LR-ZB250AN_SetupGuide_KO.pdf,Keyence,LR-ZB250AN,SetupGuide,KO,true,mfr inferred from model prefix
Unknown_LV-N_Manual_KO.pdf,Keyence_LV-N_UserManual_KO.pdf,Keyence,LV-N,UserManual,KO,true,mfr inferred from model prefix
Unknown_LV-N_Manual_KO_2.pdf,Keyence_LV-N_UserManual_KO_v2.pdf,Keyence,LV-N,UserManual,KO,true,mfr inferred from model prefix
Unknown_LV-N_Manual_KO_3.pdf,Keyence_LV-N_UserManual_KO_v3.pdf,Keyence,LV-N,UserManual,KO,true,mfr inferred from model prefix
