프로젝트에 장비 키워드 없는 품목 (발주이력 장비유형 있음): 479건

코드 | 품명 | 수량 | 금액 | 프로젝트 | 장비유형
K22-0104-KB2419R2 | GGM BLDC MOTOR | 8 | 311,528 | OKE BLDC모터 판매건 | PVD/포장기
22-00-905-0 | Side Target Base | 3 | 303,000 | 2026 개발용 자재 구매(단품) | 핸들러
MHKL2-20D | Air Chuck | 2 | 301,186 | 와이지원 Grip Tool(None Motor) 판매건 | 프레스
MAKC0404B | Shock Absorber | 8 | 300,032 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 핸들러
M1214-MP2 | Lens | 4 | 300,000 | 2021 개발용 자재 구매(단품,비프로젝트) | 검사기
OGN25K | Reducer | 5 | 300,000 | 성도방포 OIK1GN-C, OGN25K, WT1501-P10-P13-0 | 검사기
hxnn8-8 | Magnet | 116 | 280,604 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
ES-M1 | Amp | 2 | 280,000 | [개발] 스페이서 테스트지그 | PVD
M1628-MPW3 | Camera Lens | 1 | 275,000 | 2026 개발용 자재 구매(단품) | PVD/핸들러
BLDCMOTOR | BL42S-24078N(24V) | 5 | 275,000 | 공용자재(미배정) | 프레스
SD-D/SC/LA/GY | 콘센트 | 17 | 271,490 | 한국야금 WBM-ECO #2 | 프레스/핸들러
DS-2CD2425FWD-I | CCTV | 3 | 270,000 | 세라티즈 HIM-F1 #1 (#24-1) | CVD/PVD/검사기/소결/프레스/핸들러
07-05-048-0 | Rotater shaft | 9 | 270,000 | 한국야금 복합 툴 | 프레스/핸들러
91-50-03-2 | Jig Quartz Glass | 12 | 264,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
XK2-35/10*4 | 전원분배블럭 | 17 | 260,610 | 세라티즈 HIM-F1 #1 (#24-1) | 검사기/포장기/핸들러
07-00-011-5 | Tool Cover | 26 | 260,000 | 2025 프로젝트외 무상 자재 | 프레스/핸들러
PF500-10T | Pre Filter | 8 | 256,000 | CTA 부품판매건 | 검사기/핸들러/호닝형상
C17521-LISA4-RS | CREE LED LENS | 100 | 255,400 | 2026 조명 내부제작 구매용 | 검사기
50-03-39-1 | P2Jaw Cap 5.0mm, Ø12.0 | 25 | 250,000 | CTA 부품판매건 | PVD
ST-1228 | Input Module 8point | 2 | 250,000 | 한국야금 20-7호기 I/O Module 교체건 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
20-27-103-0 | Pallet Guide | 4 | 240,000 | 다이제트 HIM-F1 #1 (#24-2) | 검사기/핸들러
07-14-022-0 | Tension Block | 20 | 240,000 | [개발] 복합툴 개발 | 프레스/핸들러
20-27-102-0 | Pallet Guide | 4 | 240,000 | 다이제트 HIM-F1 #1 (#24-2) | 검사기/핸들러
LCO50-B12 | COAXIAL LIGHT | 1 | 237,333 | 2023 자재수리 비용 | 호닝형상
MSB15S-C1-180L | LM Guide | 6 | 231,000 | 몰디노 리팔레팅 #1 | CVD
ANA1-C10 | Silencer | 43 | 230,910 | 일본교세라 라벨 부착기 부속품 요청건 | 포장기/프레스
VZM450-01-34R | Switch Valve | 4 | 218,800 | 2021 개발용 자재 구매(단품,비프로젝트) | 프레스
Ø5(제로볼) | 강구 | 874 | 218,500 | 화루이 Insert & Spacer PP Unit 판매건 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
127-06-04-0 | Mirror Shield | 5 | 217,675 | 조명제작(밀링&선삭 마이크로) | 검사기
NSPW300D | LAMP TYPE LED | 3000 | 216,000 | 2024 개발용 자재 구매(단품,비프로젝트) | 검사기
MSMF012L1T1 | Panasonic A6 ServoMotor | 1 | 214,300 | 2024 프로젝트외 무상 자재 | 핸들러/호닝형상
22-52-03-1 | MACRO CAMERA BKT | 6 | 210,000 | Side Vision Unit | 검사기
MCOC20-10-10 | Coupling | 10 | 208,280 | 2021 무상 C/S 자재 구매 | 검사기
99-18-45-2 | Timing Pulley | 4 | 204,000 | 듀얼 픽업 툴 재고 | 프레스
CDJ2M10-100Z-M9BL-B | Cylinder | 4 | 201,160 | 교세라(일본) 라벨부착기 #1 | 교정
TM4-N2RB | 온도 컨트롤러 | 6 | 200,592 | 세라티즈 HIM-F1 #1 (#24-1) | 검사기/핸들러
07-19-003-4 | Jaw Cylinder Body | 2 | 200,000 | 2022 무상 C/S 자재 구매 | 프레스/핸들러
07-00-010-2 | Inner Cover | 8 | 200,000 | OKE 틸팅 툴 & TP  | 프레스/핸들러
51-03-10-0 | Grip Holder | 3 | 193,203 | 한국야금 상하면 #4 3죠 그립 홀더 요청건 | PVD
E2K-C25MY1 | Sensor | 2 | 193,000 | 한국야금 Agathon 350 T&B 핸들러 | 핸들러
20-27-93-1 | Brush | 1 | 190,000 | 중국 교세라 HIM-F1 #1 (#21-2) | 검사기/핸들러
20-27-74-1 | Pallet Guide | 4 | 188,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
MLMP8 | Mecha Lock | 4 | 186,960 | 교세라 후지산기핸들러 #1 | 핸들러
SSEB10L-75 | LM GUIDE | 5 | 185,995 | 쯔루이 복합툴 교체건 | 프레스
GPR20006HJN | PRESSURE REGULATOR | 8 | 180,736 | 2024 개발용 자재 구매(단품,비프로젝트) | 프레스
OIK1GN-C | Induction Motor  | 3 | 180,000 | 성도방포 OIK1GN-C, OGN25K, WT1501-P10-P13-0 | 검사기
60-99-25-0 | Gripper(S09) | 4 | 180,000 | 탕가로이 반전 그리퍼 구매 건 | CVD/PVD
60-99-06-1 | Gripper(T11) | 4 | 180,000 | 탕가로이 반전 그리퍼 판매건 | CVD/PVD
127-01-09-0 | Center Cover | 10 | 180,000 | 조명제작(밀링 측면)-종료 | 검사기
STOPPER-JSTN2 | 스토퍼 | 11 | 176,814 | 2024 소모성 자재 구매 | 프레스/핸들러
BYRC-4 | Camlock | 27 | 175,500 | 다이제트 HIM-F1 #1 (#24-2) | PVD/프레스/핸들러
HXN10-10 | Magnet | 48 | 174,480 | [선제작] HIM-F1 #21-2 개조 | CVD/검사기/소결/핸들러/호닝형상
DS-2CD2420F-I | CCTV | 3 | 174,000 | 몰디노 리팔레팅 #1 | CVD/PVD/검사기/소결/포장기/프레스/핸들러
99-18-45-1 | Timing Pulley | 4 | 172,000 | 2022 무상 C/S 자재 구매 | 프레스
EX-22A | Sensor | 4 | 170,000 | 교세라(일본) 라벨부착기 #1 | 프레스
91-10-20-1 | Jig Up Down Brkt | 2 | 170,000 | 다이제트 HIM-F1 #1 (#24-2) | 핸들러
HXNN6-8 | Magnet | 72 | 163,296 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
SFAB20-216 | Shaft | 10 | 159,900 | 다인정공 레이저마킹기 #1 | 교정
67-00-122-0 | Centering Pin Cap(Ø2.5) | 8 | 153,840 | CTA 부품판매건 | PVD
PACK-PWTB6-20-3 | Washer | 4 | 151,980 | 2026 소모성자재 구매 | CVD
HTR0808AC7N-165 | Ball Screw | 1 | 150,600 | 2022 무상 C/S 자재 구매 | 포장기
LCBL-5M_4CH | LightCable(4CH) | 4 | 146,000 | 다이제트 HIM-F1 #1 (#24-2) | 검사기
